,all_full
0,"about me:  i would love to think that i was some some kind of intellectual: either the dumbest smart guy, or the smartest dumb guy. can't say i can tell the difference. i love to talk about ideas and concepts. i forge odd metaphors instead of reciting cliches. like the simularities between a friend of mine's house and an underwater salt mine. my favorite word is salt by the way (weird choice i know). to me most things in life are better as metaphors. i seek to make myself a little better everyday, in some productively lazy way. got tired of tying my shoes. considered hiring a five year old, but would probably have to tie both of our shoes... decided to only wear leather shoes dress shoes.  about you:  you love to have really serious, really deep conversations about really silly stuff. you have to be willing to snap me out of a light hearted rant with a kiss. you don't have to be funny, but you have to be able to make me laugh. you should be able to bend spoons with your mind, and telepathically make me smile while i am still at work. you should love life, and be cool with just letting the wind blow. extra points for reading all this and guessing my favorite video game (no hints given yet). and lastly you have a good attention span.
currently working as an international agent for a freight forwarding company. import, export, domestic you know the works. online classes and trying to better myself in my free time. perhaps a hours worth of a good book or a video game on a lazy sunday.
making people laugh. ranting about a good salting. finding simplicity in complexity, and complexity in simplicity.
the way i look. i am a six foot half asian, half caucasian mutt. it makes it tough not to notice me, and for me to blend in.
books: absurdistan, the republic, of mice and men (only book that made me want to cry), catcher in the rye, the prince.  movies: gladiator, operation valkyrie, the producers, down periscope.  shows: the borgia, arrested development, game of thrones, monty python  music: aesop rock, hail mary mallon, george thorogood and the delaware destroyers, felt  food: i'm down for anything.
food. water. cell phone. shelter.
duality and humorous things
trying to find someone to hang out with. i am down for anything except a club.
i am new to california and looking for someone to wisper my secrets to.
you want to be swept off your feet! you are tired of the norm. you want to catch a coffee or a bite. or if you want to talk philosophy."
5,"i'm an australian living in san francisco, but don't hold that against me. i spend most of my days trying to build cool stuff for my company. i speak mandarin and have been known to bust out chinese songs at karaoke. i'm pretty cheeky. someone asked me if that meant something about my arse, which i find really funny.  i'm a little oddball. i have a wild imagination; i like to think of the most improbable reasons people are doing things just for fun. i love to laugh and look for reasons to do so. occasionally this gets me in trouble because people think i'm laughing at them. sometimes i am, but more often i'm only laughing at myself.  i'm an entrepreneur (like everyone else in sf, it seems) and i love what i do. i enjoy parties and downtime in equal measure. intelligence really turns me on and i love people who can teach me new things.
building awesome stuff. figuring out what's important. having adventures. looking for treasure.
imagining random shit. laughing at aforementioned random shit. being goofy. articulating what i think and feel. convincing people i'm right. admitting when i'm wrong.  i'm also pretty good at helping people think through problems; my friends say i give good advice. and when i don't have a clue how to help, i will say: i give pretty good hug.
i have a big smile. i also get asked if i'm wearing blue-coloured contacts (no).
books: to kill a mockingbird, lord of the rings, 1984, the farseer trilogy.  music: the beatles, frank sinatra, john mayer, jason mraz, deadmau5, andrew bayer, everything on anjunadeep records, bach, satie.  tv shows: how i met your mother, scrubs, the west wing, breaking bad.  movies: star wars, the godfather pt ii, 500 days of summer, napoleon dynamite, american beauty, lotr  food: thai, vietnamese, shanghai dumplings, pizza!
like everyone else, i love my friends and family, and need hugs, human contact, water and sunshine. let's take that as given.  1. something to build 2. something to sing 3. something to play on (my guitar would be first choice) 4. something to write/draw on 5. a big goal worth dreaming about 6. something to laugh at
what my contribution to the world is going to be and/or should be. and what's for breakfast. i love breakfast.
out with my friends!
i cried on my first day at school because a bird shat on my head. true story.
you're awesome."
9,"my names jake. i'm a creative guy and i look for the same in others.  i'm easy going, practical and i don't have many hang ups. i appreciate life and try to live it to the fullest. i'm sober and have been for the past few years.  i love music and i play guitar. i like tons of different bands. i'm an artist and i love to paint/draw etc. and i love creative people.  i've got to say i'm not too big on internet dating. you cant really get an earnest impression of anyone from a few polished paragraphs. but we'll see, you never know.
i have an apartment. i like to explore and check things out. i like good japanese and peruvian food. nothing beats good ceviche on a hot day. or a hot chai on a cold one.  i've been working on my a.o.d. certification but have stalled out. i'm hoping to pursue art but have yet to find the best venue. recently i've been working on a construction job in belmont. it's not my dream job. but for the time being it affords me other opportunities. plus it keeps me in shape, so i shouldn't complain.
i'm good at finding creative solutions to problems. i can organize a living space pretty well. i'm good at making people smile. i'm good at laughing at inappropriate times. and i make a mean bowl of cereal.
i'm short
i like some tv. i love summer heights high and angry boys. and i love fringe.  i'm reading stiff after finishing elliott smith and the big nothing (loved it). i like biographies.  i love music. it would be impossible to list everything i like because the list grows exponentially. i like george harrison or the clash. i like flight of the conchord's, old radiohead and elliott smith. djali zwan, x, the knitters, the kinks, john lennon, floyd, nina simone, the smiths, seu jorge, the sex pistols, immortal technique, al green, dead kennedy's, the beatles, cat stevens, nine inch nails, the dead, bob dylan etc. my taste is varied, i love music.  and i love movie's, i like all kinds. these days i'm at netflix more often though. and i never miss science friday's.
music, my guitar contrast good food my bike my paintbrush my toothbrush family & friends ok....there's seven
you should
send a message
and say hi.
you can rock the bells"
10,"update: i'm seeing someone, so off the market :)  i have blue eyes, live in the mission, love to laugh and make people smile. i'm a social liberal. honesty impresses me, i'm not a fan of lying unless it involves soft grass or a bed. i've heard that lots of gents on the cupid lie about/exaggerate their height. i am in fact 5'10.5"", for whatever that's worth. i love female energy. i am endlessly fascinated by women, and the best thing about okc is that i get to meet independent and interesting girls that i would never have encountered in my daily life. i'm very comfortable to be around and i have fun helping people overcome problems or gain fresh insights into their personalities.  favorite spirit:single malt scotch go-to drink:jack&coke favorite beers: kostritzer, hoegaarden beers i'm more likely to actually be drinking: pabst, tecate, miller with breakfast: irish coffee personality type: enfj
i have three jobs. i've been doing sound and lighting for events, making new friends, keeping the old ones, reading, drinking strong coffee, exercising, helping friends move(the curse of truck ownership), teaching myself to sing and play guitar simultaneously, making everyone around me smile
hugging, kissing, laughing, motivating people, massage, cooking, reading
my huge goofy smile
i'm constantly reading, i read at what my friends describe as an incredible pace. it's my superpower. favorite authors include tim powers, kurt vonnegut, philip k. dick, neal asher, harry harrison, robin hobb, jim butcher, joe haldeman, greg bear, matthew woodring stover, patrick rothfuss, alan dean foster, larry niven, mike resnick, robert e. howard, s. andrew swann, jerry pournelle, steven gould, john steakley, steve perry, gordon dickson, john dalmas, iain banks, vernor vinge, poul anderson, dan simmons, ken follett, jeffrey archer...  i love me some movies: they live, scott pilgrim vs the world, the usual suspects, willow, anything involving luc besson and/or jean reno, repo men, chok dee, true romance, plunkett and macleane, the 40 year old virgin, tropic thunder, serenity, beerfest, marathon man, the golden child, coming to america, anything directed by wes anderson(darjeeling limited, royal tenenbaums, etc.), the big lebowski, ramen girl, hot tub time machine, old charles bronson flicks, kung fu movies from bruce lee to jet li, 12 monkeys, snatch, big trouble in little china, pan's labyrinth, i am a huge fan of zombie apocalypse films but i'll basically watch anything involving vampires and werewolves as well.  shows: community, parks&rec., the office, 30 rock, modern family, misfits, archer, dexter, breaking bad, californication, true blood, six feet under, deadwood, firefly, life on mars, anything involving hilarious british people in awkward social situations...  music: stoner rock, hip-hop, folk, electronica, reggae, progressive metal, industrial, classical, essentially anything that either makes my body move or sparks my emotions or both. my two all-time favorite albums: paul simon's graceland and the beastie boys check your head.  food: is very important, it sets my little world on fire. i'm pretty deep into chinese, thai, indian, mexican, italian, french, japanese, russian, middle eastern, irish, vietnamese, german and korean food. i love the smells of food. i love to cook. i love to eat. i'm always willing to try something new, but i refuse to eat anything that's looking up at me from and/or moving around on the plate.
family friends food women music reading
snowboarding, food, women, goofy nerd stuff, architecture, music...
having dinner and drinks with friends and/or working
i used to wish for a jetpack when blowing out the candles on birthday cakes. now, i wish for an army of giant robots
you are a complex woman with healthy self-esteem. you are intelligent and funny. you are a great kisser. you are talented artistically or musically. you wanna hang out, grab a meal somewhere delicious, have a drink or maybe just make out like we're starring in an eighties movie and modern english's i melt with you is playing in the background.  don't message me if: you chew tobacco, you blatantly lied on your profile, you're really excited about your church, you think gay people are going to hell, you are easily offended by humor, you lack a basic sense of hygiene and/or chew with your mouth open."
11,"i was born in wisconsin, grew up in iowa, and moved to california three years ago for a combination of work opportunity and just wanting to live in sf. it took me a couple years to get to the peninsula, but i'm glad i eventually got here. i'm passionate about people and have a wide variety of interests and talents.  i'm also continually learning about myself. for example, i'm learning very recently that as a result of spending all my time growing up, in college, and for the last five years focusing on growing my ""deep relationship"" skills, i'm not as good as i previously thought at initializing friendships/relationships. i guess that isn't all a bad thing since the ""first impression"" thing only really happens once with each person. :)  as a result, i love my friends, i've got a lot of deep friendships, and know how much richer a friendship can get as it gets deeper.  i'm passionate about music, i play the guitar, write songs (less now than before), write plays (more now than before), want to learn french and asl, am pretty good for an amateur ballroom dancer, can do almost everything moderately well (seriously, no joke), love bright ties and shoes, am a jacket and jeans person, and absolutely love figuring out how people tick. i think i'm pretty cool and wish more people would be patient enough to take the time to see that.  every friend i've ever had say i'm nothing like anyone else. so i don't come off like anyone else. i'm my own person. and i'm proud of that.
i'm currently the youngest member on an internal strategy team for a large bank. it may sound boring, but i'm a big fan of the opportunities it entails. i get to be exposed to really intelligent, deliberately organized people be purposeful in a high paced business environment. it's pretty awesome soaking up all their knowledge while contributing what i can.  i'm happy with who i am and would enjoy adding someone else to the mix.
i'm really good at a little bit of everything. there isn't much i truly excel in, but i'm above average to good in almost every area. i take pride in being able to do a lot of different things. for example, i have a tiny bit of talent/skill in writing, wood-carving, cooking, singing, playing a guitar, drawing, sewing, etc. i grew up in a household that had to make a lot of the things we needed, so you kind of picked up these things along the way.
the way i dress. some days it's hats, other days it's different ties. most days it's shoes and jackets. just another way to express myself.  i've also decided that people notice how i'm not what they expected. i find myself unpurposefully continually surprising people, and i think i like that. :)
books = yes. avid reader. moves = eternal sunshine, vanilla sky, stranger than fiction, garden state, lord of the rings, star wars (the classics), etc tv = lost, himym, psych, big bang theory, etc music = brandi carlile, bon iver, band of horses, killers, etc -- i have a seriously wide range of musical tastes, not because i don't have taste but because i believe every genre has talented musicians food = sushi, bbq, italian--i like trying things, but often find myself coming back to the same old, same old
guitar - even if i don't play it all the time, i've got to have it as an available outlet corrective lenses - bats can see better than me if i don't have my glasses book - always reading--well, not as always as i used to, but still enough that i feel naked without a book in my bag ipod - got to have my music; 11,000 songs and counting. :d car - i really don't like being stuck at home--i don't mind being a homebody at times, but i don't like being forced to be money - i've found it's unbelievably hard to find fun things to do without spending money if you don't want to stay at home
a little bit of everything. but mostly social influences and how everybody's connected one way or another. there's a fascinating map of humanity out there, and it's interesting learning how people are influenced and how they influence.
hanging out with a small group of friends--staying in or going out--and just enjoying their collective company.
i'm picky when it comes to dating. i know what i'm looking for and won't waste my time. or hers.
if you know who you are, who you want, where your life is going. also, i'm a genuine guy who isn't going to be like everyone else. send me a message if you're patient, willing to take the time to get to know someone, and are looking for the kind of guy you can take home to your parents. :)"
16,"i just moved to the bay area from austin, tx (originally from louisiana). i do audio programming for video games, and just started at a game studio out here. yes, i am a bit of a nerdy programmer, but i don't have it stamped across my forehead - i don't even really play video games all that often. i actually create/play music way more often in my spare time.  i'm starting a new life here in ca and really excited about it. i only knew one person in this area when i moved here, but i wasn't worried - i always make friends pretty quickly. in every city i've lived, i've made at least a few life-long friends. i'm definitely looking to do the same thing here.  i'm a very easy to get along with kind of person. i always try to avoid over-complication. i have no time for bullshit, and i would expect the same from anyone i'm close to and/or respect.  i'm very much into doing things outside and living a healthy/fit lifestyle. i'm really looking forward to doing some camping, backpacking, biking, etc in ca. i also really enjoy going out for a nice meal and some tasty cocktails or beer, or doing the music nightlife thing. i dj (drum n bass) from time to time, and i've already landed a few gigs in the bay area. i'm very much involved in dnb and other electronic genres, but i love live music just as much.  basically ... life, to me, is about working hard and playing hard. i've made a lot of sacrifices and invested much effort to get myself into an industry where those two can often overlap, which is something i'm fairly proud of myself for. i've learned a lot of cool stuff so far and i plan to continue doing that. i'm pretty excited to see where that will take me :d
making music, programming, getting back into a fit lifestyle after an extended stay in louisiana, exploring the new city i just moved to.
i'm from louisiana, so cooking and eating are pretty much ingrained into my dna. there's a drinking factor involved as well.
lately, i keep getting asked ""are you with the band?"" i'm also going through several stages of ""you look like _"", and it's usually some musician i've never heard of. i guess it's the hair.
movies/tv/etc: the big lebowski (and other cohen bros. films), aliens, the foot fist way, the dark crystal, labyrinth, most guy ritchie films, most idiocracy, firefly, master pancake theater (austin comedy troupe), mitch hedberg, kids in the hall.  books: as far as fiction, i mostly read geeky stuff like fantasy and sci-fi. i also like reading books and articles on programming, game development, music creation, cooking, travel/outdoor, etc.  music: i'm into a very wide variety of music, ranging from experimental, downtempo, metal, drum n bass, techno, breakbeat, indian, jazz, ambient / soundscape, ... i could go on for days on this subject  food/beverage: thai, sushi, cajun, indian, mediterranean, mexican, bbq, espresso, cocktails, sake, red/white wine (mostly red)
(in no particular order)  - good food - music - the outdoors - tasty beverages - computing device - that blue stuff that you put your combs in
- methodologies for practicing creative skills - questioning ideas that have become widely adopted, but never intelligently discussed
i just moved here and am still getting to know the area, so i'm always looking for something to do. anything involving music and/or beer is always a good start.
i am in my 30's and still cannot grow a mustache. if i try, it comes out looking like a fischer price 'my first mustache'
you want to help me assemble ikea stuff and/or help me decorate my new place.  you wan to show me cool things to do in the bay area, or go exploring with me.  you think we might connect or want to know more about me."
17,"to sum myself in whole: i have adventurous tendencies with a somewhat vulgar flare (i hope you can take a joke-offensive or not).  i'm a constant seeker of discovering something new, whether it be a different restaurant, culture, or music (anything really). i tend to have an eclectic personality.  i volunteer and participate with a lot of activities with my community. i also tend to seek those who have a story, any story. i'm all ears! i want to learn from you, hear what you have to say, and relate it to my own personal experience.  i'm a bit of a nerd and like to watch the history, military, and discovery channel. something about militaristic strategies intrigue me.  i'm a bit of a tom boy, so i indulge in shooting guns, playing video games, and working out consistently. i also have the guilty pleasure of watching ridiculous comedy (family guy, curb your enthusiasm, it's always sunny ...just to name a few)
i'm currently studying and majoring in criminal justice, and i will be graduating soon :) (i'm stoked!). i have something lined up in the future that is awaiting for me pending graduation (i'll tell you later).  i'm currently working on a difficult project with school, which has me discovering different perspectives of san francisco's tenderloin district. i'm chatting with homeless people, prostitutes, drug addicts, and so far 1 ""john"". intereresting to say the least.
hmm...i know i can take a test rather well.;) ...ohh and i'm pretty good at playing tic-tac-toe by myself. i win all the time!  listening-people say that all the time, but i tend to think of this as somewhat a necessity. listening to another human being. tricky.  lots? the one skill i prize in: i'm really good at reasoning and rationally thinking. i find this to be extremely rare nowadays.  i'm really good at tinkering with things on the side, being that i crave discovery and self knowledge, so in a sense i'm good at figuring things out on my own.
physically-i've been told my eyes. people usually like how i can turn a serious situation into something relaxing and fun. i tend to make shy people ""talk"" to me...but i keep hearing that's a plus.
i'm much more of a movie goer. favorite actor: edward norton. favorite actress : rachel weise. favorite director: darren aronofsky . that should give you a pretty good idea of the type of movies i like.  i absolutely love to dance! nothing is a better stress reliever than hitting the dance floor with good company.  hands down though, my ultimate love affair with music is essentially classic rock. the scorpions are absolutely my favorite band because they bring a smile to my face every time i hear them. they were also the best concert i've ever attended.  best book i've read so far: the secrets of the fbi- by robert kessler. if you were obsessed watching the sopranos, i highly recommend this book!  favorite food? my taste for food is wide, however i can't deny my own culture ...so mexican food is probably what i like best. it always has that homely feeling to it.
my cellphone eye liner food wallet jacket a good excuse ;) -ponder about that one for a moment
my next big vacation! who knows....maybe if i like you enough you can tag along
working out at the gym, sometimes watching a movie, sometimes heading out with the roommates and friends to various sf bar locations, sometimes exploring different beaches at two in the morning (i know, i'm weird), sometimes getting up and 4:30 am to see the fog roll up on the golden gate bridge, and sometimes after i'm done with my workout...i'll run again. sometimes i'll do all of this in order on my friday night.....yeah, boom.
i could beat you at a game of hold em'.....try me :)  i like to eat raw lemons and limes i've tried to balance the light switch between on and off.  i have a daily case of dejavu. i still draw the sun at the corner of binder paper.  and...i love opera.
you're interested?  and you also thought ophelia was incredibly annoying when she ate those grapes from, ""pan's labyrinth""."
18,"some of my favorite things: riding my motorcycle on curvy roads curling up with the next book in the series finding great photographs building things joking around with my friends, finding funny moments the stars windy days living near the beach love and compassion music cooking dinner with a friend  sometimes i'll take a different route, just to see where it goes.  my photos are available on facebook, for a peak of some of those unguarded moments :p
enjoying it, exploring limits, looking for love
understanding, appreciating, i like getting a conversation going. i love teaching, and being creative.
blue eyes and a kind soul... although i don't really know that. i haven't asked anyone. i imagine it's what they're thinking about at the time: ""i could really go for a sandwich, oh wow, that guy's carrying a sandwich from the local deli... wow he has really blue eyes!"" so you know, maybe it's sandwiches.
i like stories that are adventurous, fun, and enjoyable. it's important to me that the artist poured their heart into the work, and stayed true to the characters and world they created. i'll read a book or two a week, so it's hard to pick a favorite!
compassion, love, art, my motorcycle, stretching after a nap, burritos
i like thinking about ways to improve things. it's my job actually, so that works out well :) things like how to make our software more efficient. i also like being creative, and exploring ideas for fun. my next project? building a custom wooden tool box that fits on my bookshelf.
last friday i had dinner with my roommates, and i bummed around on reddit. this friday, i'm motorcycle camping with some friends.
i have liked vampire novels ever since finding ""my babysitter is a vampire"" at the library when i was a little kid.
because i'll try to write back, and it's hard to get to know someone from a profile page.  also if you're a bit of a nerd and like joking around :)"
19,"i relocated to san francisco half a year ago. that was an awesome few months that let me explore the diverse parts of the city, find a gorgeous victorian house to live in, meet my awesome roommates who became my best friends, find my first american emotional soul-mates, ride hot european wheels on the hilly streets of san francisco and the winding road to stinson beach, swim in the freezing waters of the bay, walk the ocean beach at full moon on warm, starry nights, experience the great outdoors hiking and cross-country skiing, fall in love with the local diversity and openness, abundance of cuisine, and embracement of active lifestyle.  this is the most awesome city to live in, and one where you can loose yourself in a continuous chase of newelties and adventure. and the people around will only support you in that amazing run for new experiences. having been absorbing this atmosphere for the past six months, i'm finally revelling in the clamness that i find inside me once again. like you, maybe, and so many bright people here, i've come to embrace this city as home. and i'm beginning to stabilize and live a well paced life, with time for personal and professional growth, fun with close friends, sports that keep the balance of my body and mind, and with the time to ponder and reflect on my way through life.
i left my comfort zone far behind in europe, and enjoyed a few months of a fast-paced adventure here. at the same time i was doing my best to settle down and it seems it worked well ;-)  being in the central game-development technology hub, i'm taking advantage of the situation and am focusing a bit more on work & career too.
listening, connecting emotionally, analyzing tough engineering tasks, making people laugh, dancing boogie woogie, horseback riding, yoga, swimming, playing chess, and guitar hero, driving dynamically, driving gently, taking good photos, and listening to my intuition.
cheerful, open, curious, direct, active, sporty, energetic.
the art of happiness by dalai lama, how finding your passion changes everything, art of game design,  scent of a woman, lost in translation, beginners, i am love, closer, a good year, midnight in paris,  marcus miller, 3-11 porter, ludovico einaudi, vivaldi, handel, 30 seconds to mars, william elliot whitmore, hans zimmer, dire straits, bruce springsteen,  indian, thai, mexican, sushi, greek, spanish
juicy fruit, water, swimming workouts, yoga practice, my dearest friends, and a good hifi music system at home.
my passions and searching for new ones.
having dinner and a night out with my close friends; or am driving out of town with them for the weekend.
i'm pretty direct, so you can ask and i'll tell you.
you wanna meet up."
22,"i tend to think the same way a comedian does about nearly everything and i laugh more than any other particular activity. adventures are a key ingredient to my happiness, whether it be a new restaurant, hike, or sport i'm usually forging ahead toward something new. you coming?
i'm a supply and demand manager for a sustainable soap manufacturer here in sf. the typical corporation sort of sucks the life out of my being, so working for companies with a positive mission is key for me. aside from operations work, i am currently learning to cook (better), renting a cabin in tahoe for the season to ensure i take snowboarding more seriously, refreshing my spanish for travel, and taking wood-working classes.
making predictions, planning anything (i'm pretty thorough when motivated), writing, making people laugh (yes, often at me), and overeating/drinking followed by an appropriately guilty run through the park.
that i'm smiling. pretty much at all times.
a confederacy of dunces and infinite jest are two of my all time favorite books. in terms of movies i tend to love wes anderson flicks, fear & loathing, lebowski, you know, the usual. i'm a guy! for tv shows i am big on most hbo series, walking dead, and any solid comedies not on basic cable (yeah, no basic cable shows of any kind really).
1) sf restaurants, could they be any better? 2) friends with beer 3) going places i've never been 4) board sports 5) a bicycle 6) smartass comedy
how to build an empire and a legacy. so far the list is to obtain two atv's, two jet skis, and a giant trampoline to keep at my beach house. there will also be a baseball diamond. we will surf nearly every day and survive on a diet primarily consisting of tacos and beer. if you want to do something like this please contact me.
having beers with any number of friends and pretending that i just worked the last day of my life. aaaah, weekends.
when i was a kid i thought steven segal was really cool. please don't judge me.
you're a positive and creative personality looking for some new adventures."
